"CVM - LATAM - Mexico - Internal Servers - Patch Report","05/01/2017 at 06:32:56 (GMT)"
"Zurich Financial Services","4750 Wilshire Blvd.","Annex 2","Los Angeles","California","United States of America","90010"
"91344","Windows Server 2008 R2 for x64-based Systems Service Pack 1  Monthly Rollup","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/03/windows6.1-kb4012215-x64_a777b8c251dcd8378ecdafa81aefbe7f9009c72b.msu"
"91344","Windows Server 2008 R2 for Itanium-based Systems Service Pack 1  Monthly Rollup","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/03/windows6.1-kb4012215-ia64_262cb5b7b44fad05bb7f23e673a1d2c5214fd9d1.msu"
"91344","Windows 8.1 for 32-bit Systems Security Only","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/02/windows8.1-kb4012213-x86_e118939b397bc983971c88d9c9ecc8cbec471b05.msu"
"91344","Windows 8.1 for x64-based Systems Security Only","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/02/windows8.1-kb4012213-x64_5b24b9ca5a123a844ed793e0f2be974148520349.msu"
"91344","Windows Server 2012 R2 Security Only","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/02/windows8.1-kb4012213-x64_5b24b9ca5a123a844ed793e0f2be974148520349.msu"
"91344","Windows 8.1 for 32-bit Systems Monthly Rollup","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/03/windows8.1-kb4012216-x86_d4facfdaf4b1791efbc3612fe299e41515569443.msu"
"91344","Windows 8.1 for x64-based Systems Monthly Rollup","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/03/windows8.1-kb4012216-x64_cd5e0a62e602176f0078778548796e2d47cfa15b.msu"
"91344","Windows Server 2012 R2 Monthly Rollup","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/03/windows8.1-kb4012216-x64_cd5e0a62e602176f0078778548796e2d47cfa15b.msu"
"91344","Windows 10 for 32-bit Systems","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/03/windows10.0-kb4012606-x86_8c19e23de2ff92919d3fac069619e4a8e8d3492e.msu"
"91344","Windows 10 for x64-based Systems","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/03/windows10.0-kb4012606-x64_e805b81ee08c3bb0a8ab2c5ce6be5b35127f8773.msu"
"91344","Windows 10 Version 1511 for 32-bit Systems","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/03/windows10.0-kb4013198-x86_f997cfd9b59310d274329250f14502c3b97329d5.msu"
"91344","Windows 10 Version 1511 for 32-bit Systems","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/03/windows10.0-kb4013198-x64_7b16621bdc40cb512b7a3a51dd0d30592ab02f08.msu"
"91344","Windows 10 Version 1607 for 32-bit Systems","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/03/windows10.0-kb4013429-x86_8b376e3d0bff862d803404902c4191587afbf065.msu"
"91344","Windows 10 Version 1607 for x64-based Systems","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/03/windows10.0-kb4013429-x64_ddc8596f88577ab739cade1d365956a74598e710.msu"
"91344","Windows Server 2016 for x64-based Systems","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/03/windows10.0-kb4013429-x64_ddc8596f88577ab739cade1d365956a74598e710.msu"
"91340","Windows Vista Service Pack 2","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/01/windows6.0-kb3214051-x86_48e55920c0d091b105cc12ebc4f3ede58110fb09.msu"
"91340","Windows Vista x64 Edition Service Pack 2","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/01/windows6.0-kb3214051-x64_3e9ca5c9012c633119145abe4f1cde042aa153c8.msu"
"91340","Windows Server 2008 for 32-bit Systems Service Pack 2","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/01/windows6.0-kb3214051-x86_48e55920c0d091b105cc12ebc4f3ede58110fb09.msu"
"91340","Windows Server 2008 for x64-based Systems Service Pack 2","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/01/windows6.0-kb3214051-x64_3e9ca5c9012c633119145abe4f1cde042aa153c8.msu"
"91340","Windows Server 2008 for Itanium-based Systems Service Pack 2","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/01/windows6.0-kb3214051-ia64_7f7b102c8fba4d33ccce1e1a931c8e60a072f895.msu"
"91340","Windows 7 for 32-bit Systems Service Pack 1","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/02/windows6.1-kb4012212-x86_6bb04d3971bb58ae4bac44219e7169812914df3f.msu"
"91340","Windows 7 for x64-based Systems Service Pack 1","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/02/windows6.1-kb4012212-x64_2decefaa02e2058dcd965702509a992d8c4e92b3.msu"
"91340","Windows Server 2008 R2 for x64-based Systems Service Pack 1","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/02/windows6.1-kb4012212-x64_2decefaa02e2058dcd965702509a992d8c4e92b3.msu"
"91340","Windows Server 2008 R2 for Itanium-based Systems Service Pack 1","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/02/windows6.1-kb4012212-ia64_93a42b16dbea87fa04e2b527676a499f9fbba554.msu"
"91340","Windows 8.1 for 32-bit Systems","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/02/windows8.1-kb4012213-x86_e118939b397bc983971c88d9c9ecc8cbec471b05.msu"
"91340","Windows 8.1 for x64-based Systems","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/02/windows8.1-kb4012213-x64_5b24b9ca5a123a844ed793e0f2be974148520349.msu"
"91340","Windows Server 2012 R2","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/02/windows8.1-kb4012213-x64_5b24b9ca5a123a844ed793e0f2be974148520349.msu"
"91340","Windows 10 for 32-bit Systems","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/03/windows10.0-kb4012606-x86_8c19e23de2ff92919d3fac069619e4a8e8d3492e.msu"
"91340","Windows 10 for x64-based Systems","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/03/windows10.0-kb4012606-x64_e805b81ee08c3bb0a8ab2c5ce6be5b35127f8773.msu"
"91340","Windows 10 Version 1511 for 32-bit Systems","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/03/windows10.0-kb4013198-x86_f997cfd9b59310d274329250f14502c3b97329d5.msu"
"91340","Windows 10 Version 1511 for x64-based Systems","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/03/windows10.0-kb4013198-x64_7b16621bdc40cb512b7a3a51dd0d30592ab02f08.msu"
"91340","Windows 10 Version 1607 for 32-bit Systems","http://download.windowsupdate.com/c/msdownload/update/software/secu/2017/03/windows10.0-kb4013429-x86_8b376e3d0bff862d803404902c4191587afbf065.msu"
"91340","Windows 10 Version 1607 for x64-based Systems","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/03/windows10.0-kb4013429-x64_ddc8596f88577ab739cade1d365956a74598e710.msu"
"91340","Windows Server 2016 for x64-based Systems","http://download.windowsupdate.com/d/msdownload/update/software/secu/2017/03/windows10.0-kb4013429-x64_ddc8596f88577ab739cade1d365956a74598e710.msu"
"91340","Windows Server 2012","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4015548"
"91340","Windows Server 2012","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4015551"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4014652"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4014794"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015383"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015549"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015550"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015219"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015551"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015217"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015221"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015583"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015195"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015067"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=3211308"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015068"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=3217841"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015380"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4014793"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015546"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015547"
"91355",,"http://www.catalog.update.microsoft.com/search.aspx?q=4015548"
"91345","Windows Vista Service Pack 2","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012598"
"91345","Windows Vista x64 Edition Service Pack 2","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012598"
"91345","Windows Server 2008 for 32-bit Systems Service Pack 2","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012598"
"91345","Windows Server 2008 for x64-based Systems Service Pack 2","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012598"
"91345","Windows 7 for 32-bit Systems Service Pack 1","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012212"
"91345","Windows 7 for 32-bit Systems Service Pack 1","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012215"
"91345","Windows 7 for x64-based Systems Service Pack 1","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012212"
"91345","Windows 7 for x64-based Systems Service Pack 1","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012215"
"91345","Windows Server 2008 R2 for x64-based Systems Service Pack 1","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012212"
"91345","Windows Server 2008 R2 for x64-based Systems Service Pack 1","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012215"
"91345","Windows 8.1 for 32-bit Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012213"
"91345","Windows 8.1 for 32-bit Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012216"
"91345","Windows 8.1 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012213"
"91345","Windows 8.1 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012216"
"91345","Windows Server 2012 R2","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012213"
"91345","Windows Server 2012 R2","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012216"
"91345","Windows RT 8.1","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012216"
"91345","Windows Server 2012","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012214"
"91345","Windows Server 2012","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012217"
"91345","Windows 10 for 32-bit Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012606"
"91345","Windows 10 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012606"
"91345","Windows 10 Version 1511 for 32-bit Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4013198"
"91345","Windows 10 Version 1511 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4013198"
"91345","Windows 10 Version 1607 for 32-bit Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4013429"
"91345","Windows 10 Version 1607 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4013429"
"91345","Windows Server 2016 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4013429"
"370342","Windows","http://www-01.ibm.com/support/docview.wss?uid=swg21965419"
"370297","Windows","https://technet.microsoft.com/library/security/MS17-012"
"370297","Windows Vista","http://www.catalog.update.microsoft.com/Search.aspx?q=KB3217587log.update.microsoft.com/Search.aspx?q=KB3217587"
"370297","Windows Server 2008 x64","http://www.catalog.update.microsoft.com/Search.aspx?q=KB3217587"
"370297","Windows Server 2008 x64","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012021"
"370297","Windows Vista for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB3217587"
"370297","Windows Server 2008","http://www.catalog.update.microsoft.com/Search.aspx?q=KB3217587"
"370297","Windows Server 2008","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012021"
"370297","Windows 7 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012212"
"370297","Windows Embedded Standard 7 for x64-based Systems","http://www.catalog.update.microsoft.com/ScopedViewInline.aspx?updateid=c682d11d-fc2e-4852-9da7-c2198958bf6c"
"370297","Windows 7","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012212"
"370297","Windows Server 2008 R2 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012212"
"370297","Windows Server 2008 R2 for Itanium-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012212"
"370297","Monthly Quality Rollup for Windows 7","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012215"
"370297","Monthly Quality Rollup for Windows Server 2008 R2 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012212"
"370297","Monthly Quality Rollup for Windows 7 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012215"
"370297","Monthly Quality Rollup for Windows Embedded Standard 7","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012212"
"370297","Monthly Quality Rollup for Windows Server 2008 R2 for Itanium-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012212"
"370297","Monthly Quality Rollup for Windows Embedded Standard 7 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012212"
"370297","Windows 8.1","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012213"
"370297","Windows 8.1 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012213"
"370297","Windows Server 2012 R2","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012213"
"370297","Monthly Quality Rollup for Windows 8.1 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012216"
"370297","Monthly Quality Rollup for Windows Server 2012 R2","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012216"
"370297","Monthly Quality Rollup for Windows 8.1","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012216"
"370297","Windows Server 2012","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012214"
"370297","Monthly Quality Rollup for Windows Server 2012","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012217"
"370297","Windows 10","http://www.catalog.update.microsoft.com/Search.aspx?q=4012606"
"370297","Windows 10 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012212"
"370297","Windows 10 Version 1511 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=4013198"
"370297","Windows 10 Version 1511","http://www.catalog.update.microsoft.com/Search.aspx?q=4013198"
"370297","Windows 10 Version 1607 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=4013429"
"370297","Windows 10 Version 1607","http://www.catalog.update.microsoft.com/Search.aspx?q=4013429"
"370297","Windows Server 2016 for x64-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=4013429"
"370297","Windows Server 2008 for Itanium-based Systems","http://www.catalog.update.microsoft.com/Search.aspx?q=KB3217587"
"370297","Windows Embedded Standard 7","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012212"
"370297","Windows 8.1 RT","http://www.catalog.update.microsoft.com/Search.aspx?q=KB4012216"
"370297","Windows 10 (for x64-based Systems)","http://www.catalog.update.microsoft.com/Search.aspx?q=4012606"
"91346","Windows Vista - 32 bit","https://support.microsoft.com/en-us/help/4013081/title"
"91346","Windows Vista - 64 bit","https://support.microsoft.com/en-us/help/4013081/title"
"91346","Windows Server 2008","https://support.microsoft.com/en-us/help/4011981/title"
"91346","Windows 7 - Security only","https://support.microsoft.com/en-us/help/4012212/march-2007-security-only-quality-update-for-windows-7-sp1-and-windows-server-2008-r2-sp1"
"91346","Windows 7 - Monthly rollup","https://support.microsoft.com/en-us/help/4012215/march-2017-security-monthly-quality-rollup-for-windows-7-and-2008_r2"
"91346","Windows Server 2008 R2 - Security only","https://support.microsoft.com/en-us/help/4012212/march-2007-security-only-quality-update-for-windows-7-sp1-and-windows-server-2008-r2-sp1"
"91346","Windows Server 2008 R2 - Monthly rollup","https://support.microsoft.com/en-us/help/4012215/march-2017-security-monthly-quality-rollup-for-windows-7-and-2008_r2"
"91346","Windows 8.1 -  Security only","https://support.microsoft.com/en-us/help/4012213"
"91346","Windows 8.1 -  Monthly rollup","https://support.microsoft.com/en-us/help/4012216/march-2017-security-monthly-quality-rollup-for-windows-8-1-and-windows-server-2012-r2"
"91346","Windows RT 8.1","https://support.microsoft.com/en-us/help/4012216/march-2017-security-monthly-quality-rollup-for-windows-8-1-and-windows-server-2012-r2"
"91346","Windows 10","https://support.microsoft.com/en-us/help/4012606/windows-10-update-kb4012606"
"91346","Windows 10 Version 1511","https://support.microsoft.com/en-us/help/4013198/windows-10-update-kb4013198"
"91346","Windows 10 Version 1607","https://support.microsoft.com/en-us/help/4013429/windows-10-update-kb4013429"
"91346","Windows Server 2016","https://support.microsoft.com/en-us/help/4013429/windows-10-update-kb4013429"
"91346","Windows Server 2012 - Security only","https://support.microsoft.com/en-us/help/4012214/march-2007-security-only-quality-update-for-windows-server-2012"
"91346","Windows Server 2012 - Monthly rollup","https://support.microsoft.com/en-us/help/4012217/march-2007-security-monthly-quality-rollup-for-windows-server-2012"
"91346","Windows Server 2012 R2 - Security only","https://support.microsoft.com/en-us/help/4012213/march-2017-security-only-quality-update-for-windows-8-1-and-windows-server-2012-r2"
"91346","Windows Server 2012 R2 - Monthly rollup","https://support.microsoft.com/en-us/help/4012216/march-2017-security-monthly-quality-rollup-for-windows-8-1-and-windows-server-2012-r2"
"91311","Windows","https://technet.microsoft.com/library/security/ms16-147"
"91315",,"https://technet.microsoft.com/library/security/MS16-153"
"86129","IBM WebSphere Application Server","http://www-01.ibm.com/support/docview.wss?uid=swg21697368"
"90752","Windows Vista Service Pack 2","http://www.microsoft.com/downloads/details.aspx?familyid=e08266d8-fffa-40bf-b8f6-10a65ee27524"
"90752","Windows Vista x64 Edition Service Pack 2","http://www.microsoft.com/downloads/details.aspx?familyid=4f2365ed-d50e-44d9-b859-1ec54d3b4d38"
"90752","Windows Server 2008 for 32-bit Systems Service Pack 2","http://www.microsoft.com/downloads/details.aspx?familyid=f82dc413-668c-4ca8-a8c8-db74f05346bc"
"90752","Windows Server 2008 for x64-based Systems Service Pack 2","http://www.microsoft.com/downloads/details.aspx?familyid=06ad5637-56a1-4478-aaa0-063e877503c9"
"90752","Windows Server 2008 for Itanium-based Systems Service Pack 2","http://www.microsoft.com/downloads/details.aspx?familyid=2de5de74-e643-4045-9c22-ff95b0dbcafc"
"90752","Windows 7 for 32-bit Systems and Windows 7 for 32-bit Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=2307fa93-8e45-4841-a5a9-7e89960712f9"
"90752","Windows 7 for x64-based Systems and Windows 7 for x64-based Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=62603d18-1b21-400c-8eba-202193182960"
"90752","Windows Server 2008 R2 for x64-based Systems and Windows Server 2008 R2 for x64-based Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=c9cf6a22-f9ab-427a-9b16-33c60baaabb5"
"90752","Windows Server 2008 R2 for Itanium-based Systems and Windows Server 2008 R2 for Itanium-based Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=012777f5-51f2-4944-91af-a9c79b8081a1"
"124147","IBM WebSphere Application Server","http://www-01.ibm.com/support/docview.wss?uid=swg21697368"
"115185",,"http://www.vmware.com/security/advisories/VMSA-2014-0010.html"
"87237","IBM WebSphere Application Server 7.0","http://www-01.ibm.com/support/docview.wss?uid=swg27014463"
"86018",,"http://www-01.ibm.com/support/docview.wss?uid=swg21902260"
"90772","Windows Server 2008 for 32-bit Systems Service Pack 2","http://www.microsoft.com/downloads/details.aspx?familyid=3f6f89b3-3bc8-4325-b8d8-9a5a398b99c6"
"90772","Windows Server 2008 for x64-based Systems Service Pack 2","http://www.microsoft.com/downloads/details.aspx?familyid=35e6bd04-594f-42ef-97f8-abcf578b4f10"
"90772","Windows Server 2008 for Itanium-based Systems Service Pack 2","http://www.microsoft.com/downloads/details.aspx?familyid=d1d51b26-2d01-42a9-9bb1-9fb82c1fb914"
"90772","Windows Server 2008 R2 for x64-based Systems and Windows Server 2008 R2 for x64-based Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=8c51e09b-51c3-4860-836e-6bcffde75f04"
"90772","Windows Server 2008 R2 for Itanium-based Systems and Windows Server 2008 R2 for Itanium-based Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=fba58a1b-9d9f-4a10-b1df-08a0ebfa2358"
"91012","Windows Vista Service Pack 2","http://www.microsoft.com/downloads/details.aspx?familyid=8B8638B4-39F9-46F5-B9E1-B379783BA862"
"91012","Windows Vista x64 Edition Service Pack 2","http://www.microsoft.com/downloads/details.aspx?familyid=533A99CA-675B-49B3-B262-31D21AF5ABBF"
"91012","Windows 7 for 32-bit Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=38FFFC8B-AD0D-442B-B11A-586802F9E7D9"
"91012","Windows 7 for 32-bit Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=4281F207-5005-4F49-AAE3-E88EBE944140"
"91012","Windows 7 for 32-bit Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=7EEF1C29-F2FC-434E-A7A6-929BBD70C5AE"
"91012","Windows 7 for x64-based Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=E1757205-9A29-4E47-9072-0A30964A4662"
"91012","Windows 7 for x64-based Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=9F3EABF6-404E-4FF1-BE03-FFCD172DE877"
"91012","Windows 7 for x64-based Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=14673699-7C76-45BC-88ED-278B8DD96882"
"91012","Windows Server 2008 R2 for x64-based Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=5E8A333D-ADFB-43CC-BA4E-0E6919AD0DF2"
"91012","Windows Server 2008 R2 for x64-based Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=028FBAFC-5C27-4BFD-8984-DBC134694DE2"
"91012","Windows Server 2008 R2 for x64-based Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=39936B9C-7CAB-4C58-9EA8-B7BEC9142F10"
"91012","Windows Server 2008 R2 for x64-based Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=5E8A333D-ADFB-43CC-BA4E-0E6919AD0DF2"
"91012","Windows Server 2008 R2 for Itanium-based Systems Service Pack 1","http://www.microsoft.com/downloads/details.aspx?familyid=A4134225-E2AB-4EC7-9A57-52A837B34E5F"
"91012","Windows 8 for 32-bit Systems","http://www.microsoft.com/downloads/details.aspx?familyid=7F9E5745-891C-47BD-BD8C-53FCB3C04A6A"
"91012","Windows 8 for x64-based Systems","http://www.microsoft.com/downloads/details.aspx?familyid=CFCE6FDD-0FFA-4529-BABC-827A8C17FF67"
"91012","Windows 8.1 for 32-bit Systems","http://www.microsoft.com/downloads/details.aspx?familyid=9A5C4CBB-AAC0-49B4-9394-D68A30E33B62"
"91012","Windows 8.1 for x64-based Systems","http://www.microsoft.com/downloads/details.aspx?familyid=712E3362-9875-4E6A-89E3-482AE0401F22"
"91012","Windows Server 2012","http://www.microsoft.com/downloads/details.aspx?familyid=B639A8DD-EC3A-4D7C-9394-C67392D3A9F2"
"91012","Windows Server 2012","http://www.microsoft.com/downloads/details.aspx?familyid=B639A8DD-EC3A-4D7C-9394-C67392D3A9F2"
"91012","Windows Server 2012 R2","http://www.microsoft.com/downloads/details.aspx?familyid=E88D6D1D-46E0-4C1B-BB6D-657D26398BFD"
"91012","Windows Server 2012 R2","http://www.microsoft.com/downloads/details.aspx?familyid=E88D6D1D-46E0-4C1B-BB6D-657D26398BFD"
"370159","Windows","https://www-01.ibm.com/support/docview.wss?uid=swg21990060"
"91312","Windows","https://technet.microsoft.com/library/security/ms16-146"
"91254","Windows Vista Service Pack 2","https://www.microsoft.com/downloads/details.aspx?FamilyID=003ced35-ba88-4b3a-94e5-8304976c5b69"
"91254","Windows Vista Service Pack 2","https://www.microsoft.com/downloads/details.aspx?FamilyID=177562b4-bc80-4199-bf03-27f243db0a4d"
"91254","Windows Vista Service Pack 2","https://www.microsoft.com/downloads/details.aspx?FamilyID=EA7703A3-CD1B-4FF4-A156-117FA3AAFD89"
"91254","Windows Vista x64 Edition Service Pack 2","https://www.microsoft.com/downloads/details.aspx?FamilyID=003ced35-ba88-4b3a-94e5-8304976c5b69"
"91254","Windows Vista x64 Edition Service Pack 2","https://www.microsoft.com/downloads/details.aspx?FamilyID=177562b4-bc80-4199-bf03-27f243db0a4d"
"91254","Windows Vista x64 Edition Service Pack 2","https://www.microsoft.com/downloads/details.aspx?FamilyID=EA7703A3-CD1B-4FF4-A156-117FA3AAFD89"
"91254","Windows Server 2008 for 32-bit Systems Service Pack 2","https://www.microsoft.com/downloads/details.aspx?FamilyID=003ced35-ba88-4b3a-94e5-8304976c5b69"
"91254","Windows Server 2008 for 32-bit Systems Service Pack 2","https://www.microsoft.com/downloads/details.aspx?FamilyID=177562b4-bc80-4199-bf03-27f243db0a4d"
"91254","Windows Server 2008 for 32-bit Systems Service Pack 2","https://www.microsoft.com/downloads/details.aspx?FamilyID=EA7703A3-CD1B-4FF4-A156-117FA3AAFD89"
"91254","Windows Server 2008 for x64-based Systems Service Pack 2","https://www.microsoft.com/downloads/details.aspx?FamilyID=003ced35-ba88-4b3a-94e5-8304976c5b69"
"91254","Windows Server 2008 for x64-based Systems Service Pack 2","https://www.microsoft.com/downloads/details.aspx?FamilyID=177562b4-bc80-4199-bf03-27f243db0a4d"
"91254","Windows Server 2008 for x64-based Systems Service Pack 2","https://www.microsoft.com/downloads/details.aspx?FamilyID=EA7703A3-CD1B-4FF4-A156-117FA3AAFD89"
"91254","Windows Server 2008 for Itanium-based Systems Service Pack 2","https://www.microsoft.com/downloads/details.aspx?FamilyID=003ced35-ba88-4b3a-94e5-8304976c5b69"
"91254","Windows 7 for 32-bit Systems Service Pack 1","https://www.microsoft.com/downloads/details.aspx?FamilyID=e4bc950e-28a4-45ab-a733-bf9894f6a7ea"
"91254","Windows 7 for 32-bit Systems Service Pack 1","https://www.microsoft.com/downloads/details.aspx?FamilyID=177562b4-bc80-4199-bf03-27f243db0a4d"
"91254","Windows 7 for 32-bit Systems Service Pack 1","https://www.microsoft.com/downloads/details.aspx?FamilyID=ea7703a3-cd1b-4ff4-a156-117fa3aafd89"
"91254","Windows 7 for x64-based Systems Service Pack 1","https://www.microsoft.com/downloads/details.aspx?FamilyID=e4bc950e-28a4-45ab-a733-bf9894f6a7ea"
"91254","Windows 7 for x64-based Systems Service Pack 1","https://www.microsoft.com/downloads/details.aspx?FamilyID=177562b4-bc80-4199-bf03-27f243db0a4d"
"91254","Windows 7 for x64-based Systems Service Pack 1","https://www.microsoft.com/downloads/details.aspx?FamilyID=ea7703a3-cd1b-4ff4-a156-117fa3aafd89"
"91254","Windows Server 2008 R2 for x64-based Systems Service Pack 1","https://www.microsoft.com/downloads/details.aspx?FamilyID=e4bc950e-28a4-45ab-a733-bf9894f6a7ea"
